F1_target_variable,F1_collaborative_variable1,F1_collaborative_variable2,F1_collaborative_variable3,F1_collaborative_variable4
0.5329,1277.2974,0.5565,0.2973,0.3028
0.5329,1265.6713,0.5546,0.2969,0.3023
0.5329,1254.0261,0.5528,0.2964,0.3019
0.5328,1242.3589,0.551,0.296,0.3014
0.5328,1230.6865,0.5494,0.2955,0.301
0.5328,1218.9932,0.5477,0.2951,0.3005
0.5327,1207.2903,0.5462,0.2946,0.3
0.5327,1195.5826,0.5447,0.2942,0.2996
0.5327,1183.8718,0.5432,0.2937,0.2991
0.5326,1172.1584,0.5419,0.2933,0.2987
0.5326,1160.4492,0.5405,0.2928,0.2982
0.5761,320.4237,0.897,0.3003,0.3265
0.5756,326.5799,0.8987,0.3005,0.3265
0.5751,332.676,0.9004,0.3007,0.3266
0.5746,338.7002,0.9021,0.3009,0.3267
0.5741,344.6397,0.9038,0.3011,0.3268
0.5736,350.4847,0.9055,0.3013,0.3268
0.5731,356.2247,0.9072,0.3015,0.3269
0.5726,361.8467,0.909,0.3017,0.327
0.5721,367.341,0.9107,0.3019,0.3271
0.5716,372.6997,0.9125,0.3021,0.3271
0.5712,377.9121,0.9143,0.3023,0.3272
0.5707,382.97,0.916,0.3025,0.3273
0.5703,387.8647,0.9178,0.3027,0.3274
0.5699,392.588,0.9196,0.3029,0.3275
0.5695,397.1311,0.9214,0.3031,0.3276
0.5691,401.4838,0.9231,0.3034,0.3276
0.5688,405.6392,0.9249,0.3036,0.3277
0.5684,409.5899,0.9266,0.3038,0.3278
0.5681,413.3301,0.9283,0.304,0.3279
0.5678,416.8575,0.9301,0.3042,0.328
0.5675,420.1686,0.9317,0.3044,0.3281
0.5672,423.2647,0.9334,0.3046,0.3282
0.567,426.1453,0.9351,0.3049,0.3283
0.5667,428.8113,0.9367,0.3051,0.3284
0.5665,431.267,0.9383,0.3053,0.3284
0.5664,433.5203,0.9399,0.3055,0.3285
0.5662,435.5778,0.9414,0.3057,0.3286
0.5661,437.449,0.943,0.3059,0.3287
0.566,439.1465,0.9444,0.3062,0.3288
0.5659,440.6845,0.9459,0.3064,0.3289
0.5659,442.0793,0.9474,0.3066,0.329
0.5659,443.3489,0.9488,0.3068,0.3291
0.5659,444.5135,0.9502,0.307,0.3293
0.5659,445.5956,0.9515,0.3072,0.3294
0.566,446.6162,0.9528,0.3075,0.3295
0.5662,447.6022,0.9541,0.3077,0.3296
0.5663,448.5789,0.9554,0.3079,0.3297
0.5665,449.5721,0.9566,0.3081,0.3298
0.5668,450.6118,0.9578,0.3083,0.3299
0.567,451.7242,0.959,0.3085,0.33
0.5674,452.9384,0.9602,0.3087,0.3301
0.5677,454.2833,0.9613,0.309,0.3303
0.5681,455.7853,0.9624,0.3092,0.3304
0.5686,457.472,0.9634,0.3094,0.3305
0.5691,459.3663,0.9645,0.3096,0.3306
0.5696,461.4935,0.9655,0.3098,0.3307
0.5702,463.872,0.9665,0.31,0.3308
0.5709,466.5188,0.9674,0.3102,0.3309
0.5716,469.4461,0.9683,0.3104,0.3311
0.5723,472.6638,0.9692,0.3106,0.3312
0.5731,476.1755,0.9701,0.3108,0.3313
0.5739,479.981,0.971,0.311,0.3314
0.5748,484.075,0.9718,0.3111,0.3315
0.5757,488.4464,0.9726,0.3113,0.3316
0.5767,493.0831,0.9734,0.3115,0.3317
0.5777,497.9678,0.9742,0.3117,0.3318
0.5787,503.0824,0.9749,0.3118,0.3319
0.5798,508.4076,0.9757,0.312,0.332
0.5808,513.9283,0.9764,0.3121,0.3321
0.5819,519.632,0.9771,0.3123,0.3321
0.583,525.5103,0.9777,0.3124,0.3322
0.5841,531.5637,0.9784,0.3125,0.3323
0.5851,537.7966,0.9791,0.3127,0.3323
0.5861,544.2197,0.9797,0.3128,0.3324
0.5871,550.851,0.9803,0.3129,0.3324
0.588,557.7139,0.981,0.313,0.3324
0.5887,564.8361,0.9816,0.3131,0.3324
0.5894,572.2504,0.9822,0.3132,0.3325
0.5899,580.0001,0.9827,0.3133,0.3325
0.5902,588.1361,0.9833,0.3134,0.3325
0.5904,596.7085,0.9839,0.3135,0.3325
0.5902,605.7579,0.9844,0.3136,0.3324
0.5899,615.3049,0.9849,0.3136,0.3324
0.5892,625.3513,0.9855,0.3137,0.3324
0.5882,635.8726,0.9859,0.3138,0.3323
0.587,646.8184,0.9864,0.3139,0.3322
0.5854,658.1144,0.9868,0.314,0.3322
0.5834,669.6678,0.9873,0.3141,0.3321
0.5812,681.3696,0.9876,0.3141,0.3319
0.5786,693.102,0.9879,0.3142,0.3318
0.5758,704.741,0.9882,0.3143,0.3316
0.5727,716.1635,0.9885,0.3144,0.3315
0.5694,727.2498,0.9887,0.3145,0.3313
0.5659,737.8836,0.9888,0.3147,0.3311
0.5622,747.9575,0.9889,0.3148,0.3308
0.5584,757.3663,0.989,0.3149,0.3306
0.5545,766.0138,0.989,0.315,0.3303
0.5505,773.8088,0.9885,0.3151,0.33
0.5464,780.665,0.988,0.3153,0.3296
0.5422,786.5023,0.9875,0.3154,0.3293
0.5379,791.25,0.9869,0.3155,0.3289
0.5336,794.8485,0.9862,0.3157,0.3285
0.5293,797.2461,0.9856,0.3158,0.3281
0.525,798.4122,0.9849,0.3159,0.3277
0.5207,798.3314,0.9841,0.316,0.3272
0.5164,797.0085,0.9833,0.3162,0.3267
0.512,794.5486,0.9825,0.3163,0.3262
0.5076,791.4727,0.9816,0.3164,0.3257
0.503,787.2327,0.9807,0.3165,0.3252
0.4982,781.9016,0.9797,0.3167,0.3247
0.4932,775.5925,0.9787,0.3168,0.3241
0.4879,768.4653,0.9777,0.3169,0.3236
0.4823,760.7342,0.9766,0.3171,0.323
0.4765,752.6692,0.9754,0.3172,0.3225
0.4705,744.5964,0.9743,0.3173,0.322
0.4645,736.8882,0.973,0.3175,0.3215
0.4587,729.9528,0.9718,0.3176,0.321
0.4533,724.4772,0.9705,0.3178,0.3206
0.4485,720.9008,0.9692,0.3179,0.3202
0.4446,719.2151,0.9678,0.3181,0.3199
0.4416,719.6632,0.9664,0.3182,0.3196
0.4396,722.3943,0.965,0.3184,0.3194
0.4387,727.4567,0.9635,0.3185,0.3192
0.4387,734.8074,0.9621,0.3187,0.3191
0.4395,744.3218,0.9599,0.3189,0.3191
0.441,755.7883,0.9576,0.3191,0.3191
0.4432,768.9174,0.9552,0.3192,0.3192
0.4457,783.3584,0.9528,0.3194,0.3194
0.4485,798.7322,0.9505,0.3196,0.3196
0.4516,814.6569,0.9482,0.3198,0.3198
0.4548,830.7784,0.946,0.32,0.3201
0.4581,846.7843,0.9439,0.3202,0.3205
0.4615,862.4153,0.942,0.3204,0.3208
0.465,877.4662,0.9404,0.3206,0.3212
0.4686,891.7854,0.939,0.3208,0.3216
0.4722,905.2679,0.9379,0.3211,0.322
0.4758,917.8464,0.9371,0.3213,0.3224
0.4795,929.4827,0.9366,0.3215,0.3229
0.4833,940.1615,0.9365,0.3217,0.3233
0.487,949.8877,0.9367,0.3219,0.3237
0.4907,958.6753,0.9372,0.3221,0.3241
0.4943,966.5521,0.938,0.3224,0.3245
0.4978,973.552,0.939,0.3226,0.3249
0.5011,979.7188,0.9402,0.3228,0.3253
0.5041,985.1061,0.9415,0.323,0.3257
0.5067,989.7761,0.9429,0.3232,0.326
0.5089,993.8022,0.9443,0.3234,0.3264
0.5107,997.2711,0.9457,0.3236,0.3268
0.5121,1000.2744,0.947,0.3237,0.3271
0.5131,1002.9146,0.9482,0.3239,0.3275
0.5138,1005.2942,0.9492,0.3241,0.3278
0.5144,1007.5139,0.9501,0.3243,0.3282
0.515,1009.6592,0.9507,0.3244,0.3285
0.5157,1011.7936,0.9511,0.3246,0.3288
0.5168,1013.9529,0.9512,0.3247,0.3292
0.5181,1016.1313,0.9512,0.3249,0.3295
0.5198,1018.2825,0.951,0.325,0.3298
0.5215,1020.327,0.9507,0.3251,0.3301
0.5233,1022.1647,0.9502,0.3252,0.3305
0.5248,1023.7045,0.9498,0.3254,0.3308
0.526,1024.9113,0.9493,0.3255,0.3311
0.5267,1025.868,0.949,0.3256,0.3315
0.527,1026.8484,0.9487,0.3258,0.3318
0.527,1028.403,0.9486,0.3259,0.3322
0.5267,1031.4312,0.9486,0.326,0.3325
0.5264,1037.2344,0.9489,0.3262,0.3329
0.5263,1047.5094,0.9493,0.3263,0.3333
0.5267,1064.2744,0.9498,0.3265,0.3337
0.528,1089.6868,0.9505,0.3267,0.3342
0.5304,1125.7599,0.9512,0.3268,0.3347
0.5342,1174.0024,0.952,0.327,0.3354
0.5394,1235.051,0.9526,0.3272,0.3361
0.546,1308.4266,0.9532,0.3275,0.3367
0.554,1392.5747,0.9537,0.3277,0.3372
0.5632,1485.2274,0.954,0.328,0.3377
0.5733,1583.9705,0.9541,0.3283,0.3382
0.5836,1686.7498,0.9541,0.3286,0.3386
0.5934,1792.0665,0.9539,0.3289,0.3389
0.6023,1898.791,0.9535,0.3293,0.339
0.6098,2005.6873,0.9529,0.3297,0.3391
0.616,2110.9077,0.9522,0.3301,0.3391
0.6209,2211.752,0.9513,0.3305,0.3392
0.6246,2304.9321,0.9503,0.3309,0.3394
0.6271,2387.2986,0.9491,0.3313,0.3395
0.6288,2456.7205,0.9478,0.3317,0.3395
0.6299,2512.7087,0.9463,0.3321,0.3394
0.6309,2556.5962,0.9447,0.3325,0.3392
0.632,2591.2915,0.9429,0.3328,0.3388
0.6335,2620.6904,0.941,0.3332,0.3384
0.6351,2648.7278,0.9389,0.3335,0.3378
0.6369,2678.1563,0.9368,0.3337,0.3373
0.6387,2709.5132,0.9347,0.3339,0.3368
0.6402,2740.9409,0.9328,0.334,0.3364
0.6416,2769.1064,0.9312,0.3341,0.3362
0.6429,2790.8955,0.9302,0.3341,0.336
0.6442,2805.0532,0.9299,0.334,0.3359
0.6458,2812.8572,0.9305,0.3339,0.3357
0.6477,2817.1235,0.9321,0.3337,0.3354
0.6501,2819.9539,0.9348,0.3335,0.3351
0.6528,2820.9463,0.9384,0.3332,0.3348
0.6556,2817.4424,0.9428,0.3328,0.3346
0.6581,2806.3765,0.9476,0.3324,0.3344
0.66,2786.0569,0.9522,0.3319,0.3345
0.6611,2756.7856,0.9559,0.3314,0.3347
0.6611,2720.4004,0.958,0.3309,0.3351
0.6602,2679.2419,0.9578,0.3303,0.3357
0.6584,2635.1274,0.9547,0.3297,0.3362
0.6556,2588.8157,0.9486,0.3291,0.3367
0.6519,2540.1484,0.9396,0.3284,0.3369
0.6474,2488.6975,0.9282,0.3277,0.3368
0.6422,2434.4063,0.9151,0.327,0.3365
0.6363,2377.9238,0.901,0.3262,0.336
0.6299,2320.5271,0.8865,0.3255,0.3353
0.623,2263.8081,0.8721,0.3247,0.3345
0.6159,2209.3042,0.8579,0.324,0.3337
0.6087,2158.25,0.8442,0.3232,0.3329
0.6013,2111.4712,0.8309,0.3224,0.3321
0.5941,2069.3438,0.8181,0.3216,0.3314
0.5869,2031.8494,0.8057,0.3209,0.3306
0.58,1998.6429,0.7939,0.3201,0.3298
0.5735,1969.1504,0.7825,0.3193,0.3291
0.5672,1942.6638,0.7717,0.3186,0.3283
0.5615,1918.4508,0.7615,0.3178,0.3276
0.5562,1895.834,0.7519,0.3171,0.3269
0.5514,1874.2473,0.7429,0.3164,0.3261
0.5472,1853.2594,0.7344,0.3157,0.3254
0.5436,1832.5768,0.7264,0.315,0.3247
0.5405,1812.0378,0.7188,0.3144,0.324
0.5379,1791.5718,0.7115,0.3137,0.3233
0.5358,1771.2046,0.7045,0.3131,0.3226
0.534,1750.9873,0.6977,0.3125,0.3219
0.5324,1731.0178,0.6912,0.3119,0.3212
0.5311,1711.3906,0.6847,0.3114,0.3205
0.53,1692.2013,0.6784,0.3108,0.3199
0.5291,1673.5313,0.6723,0.3103,0.3192
0.5283,1655.4453,0.6663,0.3098,0.3186
0.5278,1637.9866,0.6605,0.3093,0.318
0.5275,1621.181,0.6548,0.3088,0.3174
0.5274,1605.031,0.6492,0.3083,0.3168
0.5275,1589.5276,0.6439,0.3079,0.3162
0.5277,1574.6467,0.6387,0.3074,0.3156
0.528,1560.3503,0.6336,0.307,0.315
0.5284,1546.5977,0.6288,0.3066,0.3144
0.5289,1533.3389,0.6241,0.3061,0.3138
0.5294,1520.5225,0.6195,0.3057,0.3133
0.5299,1508.0945,0.6152,0.3053,0.3127
0.5304,1496.007,0.611,0.3049,0.3122
0.5308,1484.2004,0.6069,0.3045,0.3117
0.5313,1472.6335,0.6031,0.3041,0.3111
0.5317,1461.2595,0.5993,0.3037,0.3106
0.532,1450.0352,0.5958,0.3033,0.3101
0.5324,1438.9298,0.5923,0.3029,0.3096
0.5327,1427.9083,0.5891,0.3025,0.3091
0.5329,1416.9429,0.5859,0.3021,0.3086
0.5331,1406.011,0.5829,0.3017,0.3081
0.5333,1395.0935,0.58,0.3013,0.3076
0.5335,1384.1697,0.5773,0.3009,0.3071
0.5336,1373.2344,0.5746,0.3005,0.3066
0.5337,1362.2817,0.5721,0.3001,0.3061
0.5337,1351.2871,0.5696,0.2997,0.3056
0.5338,1340.2544,0.5673,0.2993,0.3052
0.5338,1329.1871,0.5651,0.2989,0.3047
0.5338,1318.0742,0.5629,0.2985,0.3042
0.5338,1306.918,0.5609,0.2981,0.3037
0.5338,1295.7197,0.5589,0.2976,0.3033
0.5338,1284.4751,0.557,0.2972,0.3028
0.5338,1273.193,0.5552,0.2968,0.3024
0.5338,1261.8726,0.5535,0.2964,0.3019
0.5338,1250.5249,0.5518,0.2959,0.3014
0.5337,1239.1451,0.5502,0.2955,0.301
0.5337,1227.7412,0.5487,0.2951,0.3005
0.5337,1216.3135,0.5472,0.2946,0.3001
0.5336,1204.8695,0.5458,0.2942,0.2997
0.5336,1193.4146,0.5445,0.2937,0.2992
0.5336,1181.9449,0.5432,0.2933,0.2988
0.5336,1170.4722,0.5419,0.2928,0.2983
0.5769,318.3082,0.896,0.3005,0.3265
0.5764,324.5648,0.8977,0.3007,0.3266
0.5758,330.7619,0.8994,0.3009,0.3266
0.5753,336.8918,0.9011,0.3011,0.3267
0.5748,342.9429,0.9028,0.3013,0.3268
0.5742,348.9034,0.9045,0.3015,0.3269
0.5737,354.7636,0.9063,0.3017,0.3269
0.5732,360.5112,0.908,0.3019,0.327
0.5727,366.1364,0.9098,0.3021,0.3271
0.5722,371.63,0.9115,0.3023,0.3272
0.5718,376.9824,0.9133,0.3025,0.3273
0.5713,382.1845,0.9151,0.3027,0.3273
0.5709,387.2303,0.9169,0.3029,0.3274
0.5704,392.1086,0.9186,0.3031,0.3275
0.57,396.8094,0.9204,0.3034,0.3276
0.5696,401.3272,0.9222,0.3036,0.3277
0.5692,405.6514,0.9239,0.3038,0.3277
0.5689,409.7749,0.9257,0.304,0.3278
0.5685,413.6934,0.9274,0.3042,0.3279
0.5682,417.4024,0.9291,0.3044,0.328
0.5679,420.9005,0.9308,0.3046,0.3281
0.5676,424.187,0.9325,0.3048,0.3282
0.5673,427.2619,0.9342,0.305,0.3283
0.5671,430.1274,0.9358,0.3052,0.3284
0.5668,432.788,0.9374,0.3055,0.3285
0.5666,435.2495,0.939,0.3057,0.3285
0.5665,437.519,0.9405,0.3059,0.3286
0.5663,439.6068,0.9421,0.3061,0.3287
0.5662,441.5243,0.9436,0.3063,0.3288
0.5661,443.2894,0.945,0.3065,0.3289
0.566,444.9144,0.9465,0.3067,0.329
0.566,446.4207,0.9479,0.3069,0.3291
0.566,447.8273,0.9493,0.3072,0.3292
0.566,449.1574,0.9507,0.3074,0.3293
0.5661,450.4355,0.952,0.3076,0.3294
0.5662,451.687,0.9533,0.3078,0.3295
0.5663,452.9378,0.9546,0.308,0.3297
0.5665,454.2172,0.9558,0.3082,0.3298
0.5667,455.5542,0.957,0.3084,0.3299
0.5669,456.9789,0.9582,0.3086,0.33
0.5672,458.519,0.9594,0.3089,0.3301
0.5676,460.2066,0.9605,0.3091,0.3302
0.5679,462.069,0.9616,0.3093,0.3303
0.5684,464.1326,0.9627,0.3095,0.3304
0.5688,466.4249,0.9637,0.3097,0.3305
0.5694,468.9666,0.9647,0.3099,0.3306
0.5699,471.7769,0.9657,0.3101,0.3307
0.5705,474.8718,0.9667,0.3103,0.3309
0.5712,478.2632,0.9676,0.3104,0.331
0.5719,481.9542,0.9685,0.3106,0.3311
0.5727,485.9473,0.9694,0.3108,0.3312
0.5735,490.2365,0.9703,0.311,0.3313
0.5743,494.8104,0.9711,0.3112,0.3314
0.5752,499.6535,0.972,0.3113,0.3315
0.5761,504.7441,0.9728,0.3115,0.3316
0.5771,510.0568,0.9735,0.3117,0.3317
0.5781,515.5658,0.9743,0.3118,0.3317
0.5791,521.2421,0.975,0.312,0.3318
0.5801,527.0635,0.9758,0.3121,0.3319
0.5811,533.0087,0.9765,0.3123,0.332
0.5821,539.0667,0.9772,0.3124,0.332
0.5832,545.2319,0.9778,0.3125,0.3321
0.5841,551.5061,0.9785,0.3126,0.3321
0.5851,557.8999,0.9792,0.3128,0.3322
0.586,564.4313,0.9798,0.3129,0.3322
0.5868,571.1254,0.9804,0.313,0.3323
0.5875,578.0142,0.981,0.3131,0.3323
0.5881,585.1382,0.9817,0.3132,0.3323
0.5885,592.5471,0.9822,0.3132,0.3323
0.5888,600.2994,0.9828,0.3133,0.3323
0.5888,608.4534,0.9834,0.3134,0.3323
0.5887,617.0582,0.9839,0.3135,0.3323
0.5883,626.1484,0.9845,0.3136,0.3322
0.5876,635.7338,0.985,0.3136,0.3322
0.5866,645.8018,0.9855,0.3137,0.3321
0.5853,656.3109,0.9859,0.3138,0.332
0.5836,667.1965,0.9864,0.3139,0.332
0.5817,678.3719,0.9868,0.3139,0.3319
0.5795,689.7346,0.9871,0.314,0.3317
0.5769,701.1697,0.9875,0.3141,0.3316
0.5741,712.5577,0.9878,0.3142,0.3314
0.5711,723.776,0.988,0.3143,0.3312
0.5678,734.7044,0.9882,0.3144,0.331
0.5643,745.2256,0.9884,0.3145,0.3308
0.5606,755.2264,0.9884,0.3146,0.3306
0.5567,764.5999,0.9885,0.3147,0.3303
0.5527,773.2424,0.9882,0.3148,0.33
0.5486,781.0544,0.9877,0.315,0.3297
0.5443,787.9441,0.9872,0.3151,0.3294
0.54,793.8248,0.9866,0.3152,0.329
0.5357,798.6172,0.986,0.3153,0.3287
0.5313,802.2567,0.9854,0.3154,0.3283
0.5268,804.6901,0.9847,0.3156,0.3278
0.5225,805.8836,0.984,0.3157,0.3274
0.5181,805.8231,0.9832,0.3158,0.3269
0.5138,804.5182,0.9824,0.3159,0.3264
0.5094,802.0034,0.9816,0.3161,0.3259
0.505,798.5363,0.9807,0.3162,0.3254
0.5005,794.4388,0.9797,0.3163,0.3249
0.4958,789.2548,0.9788,0.3165,0.3243
0.4908,783.0956,0.9778,0.3166,0.3238
0.4855,776.1202,0.9767,0.3167,0.3232
0.4799,768.5446,0.9756,0.3169,0.3226
0.4739,760.6394,0.9745,0.317,0.3221
0.4677,752.7321,0.9733,0.3171,0.3215
0.4615,745.199,0.9721,0.3173,0.321
0.4554,738.453,0.9708,0.3174,0.3205
0.4498,733.4238,0.9695,0.3176,0.3201
0.4448,730.0731,0.9682,0.3177,0.3197
0.4408,728.6174,0.9668,0.3179,0.3193
0.4378,729.2927,0.9654,0.3181,0.319
0.4359,732.2403,0.964,0.3182,0.3188
0.4351,737.4961,0.9626,0.3184,0.3187
0.4353,745.0098,0.9611,0.3186,0.3186
0.4364,754.6613,0.9597,0.3188,0.3186
0.4383,766.2427,0.9576,0.3189,0.3186
0.4408,779.4603,0.9553,0.3191,0.3187
0.4437,793.9566,0.953,0.3193,0.3189
0.447,809.3433,0.9507,0.3195,0.3191
0.4505,825.2319,0.9485,0.3197,0.3194
0.4541,841.262,0.9464,0.3199,0.3197
0.4578,857.1165,0.9445,0.3202,0.3201
0.4616,872.5332,0.9427,0.3204,0.3205
0.4655,887.3058,0.9411,0.3206,0.3209
0.4694,901.2816,0.9398,0.3208,0.3213
0.4734,914.3496,0.9388,0.321,0.3217
0.4773,926.439,0.9381,0.3213,0.3221
0.4813,937.5079,0.9377,0.3215,0.3225
0.4853,947.5332,0.9376,0.3217,0.323
0.4892,956.5107,0.9378,0.322,0.3234
0.493,964.4475,0.9382,0.3222,0.3238
0.4968,971.3608,0.939,0.3224,0.3242
0.5003,977.2815,0.9399,0.3226,0.3246
0.5036,982.2481,0.9411,0.3228,0.325
0.5066,986.3136,0.9423,0.323,0.3254
0.5092,989.5441,0.9437,0.3232,0.3257
0.5113,992.0227,0.945,0.3234,0.3261
0.513,993.8469,0.9463,0.3236,0.3264
0.5142,995.1289,0.9475,0.3238,0.3268
0.515,995.9907,0.9486,0.324,0.3271
0.5155,996.558,0.9495,0.3242,0.3275
0.5158,996.952,0.9502,0.3243,0.3278
0.5161,997.275,0.9507,0.3245,0.3281
0.5167,997.5964,0.9509,0.3246,0.3284
0.5175,997.9458,0.951,0.3248,0.3287
0.5187,998.2883,0.9508,0.3249,0.3291
0.5202,998.5271,0.9505,0.325,0.3294
0.5218,998.505,0.9501,0.3251,0.3297
0.5234,998.0144,0.9495,0.3253,0.33
0.5247,996.8319,0.949,0.3254,0.3303
0.5257,994.7694,0.9484,0.3255,0.3306
0.5261,991.7478,0.948,0.3256,0.3309
0.526,987.8937,0.9477,0.3257,0.3312
0.5254,983.6468,0.9475,0.3259,0.3315
0.5245,979.8684,0.9476,0.326,0.3318
0.5234,977.9285,0.9479,0.3261,0.3321
0.5224,979.7274,0.9484,0.3263,0.3325
0.5219,987.6345,0.9491,0.3264,0.3328
0.5222,1004.2939,0.9499,0.3266,0.3332
0.5238,1032.301,0.9508,0.3267,0.3337
0.5268,1073.7511,0.9516,0.3269,0.3344
0.5311,1129.7593,0.9525,0.3271,0.3351
0.5369,1200.0974,0.9532,0.3273,0.3358
0.5441,1283.1428,0.9538,0.3276,0.3367
0.5528,1376.2437,0.9543,0.3278,0.3376
0.5626,1476.3613,0.9546,0.3281,0.3386
0.5731,1580.6971,0.9546,0.3284,0.3395
0.5833,1687.0178,0.9545,0.3287,0.3399
0.5927,1793.6045,0.9542,0.3291,0.3399
0.6009,1898.9324,0.9538,0.3294,0.3398
0.6078,2001.3037,0.9531,0.3298,0.3398
0.6133,2098.647,0.9523,0.3302,0.3398
0.6175,2188.6309,0.9513,0.3306,0.34
0.6206,2269.0747,0.9501,0.3309,0.3401
0.6228,2338.4917,0.9487,0.3313,0.3402
0.6244,2396.5225,0.9471,0.3317,0.3403
0.6259,2444.1287,0.9453,0.3321,0.3402
0.6273,2483.4561,0.9433,0.3324,0.3401
0.6289,2517.4038,0.9411,0.3327,0.3398
0.6306,2548.8931,0.9388,0.333,0.3395
0.6325,2580.0007,0.9363,0.3332,0.3392
0.6343,2611.2966,0.9338,0.3334,0.3388
0.6361,2641.7583,0.9315,0.3335,0.3385
0.6377,2669.3916,0.9296,0.3336,0.3381
0.6394,2692.2734,0.9281,0.3336,0.3377
0.6411,2709.5325,0.9275,0.3336,0.3373
0.643,2721.6511,0.9278,0.3334,0.3368
0.6453,2729.8784,0.9293,0.3333,0.3363
0.6479,2735.0737,0.9319,0.333,0.3358
0.6508,2736.8472,0.9356,0.3327,0.3354
0.6538,2733.6763,0.9402,0.3324,0.335
0.6564,2723.8247,0.9451,0.332,0.3348
0.6584,2706.3015,0.95,0.3315,0.3347
0.6596,2681.2869,0.9541,0.331,0.3347
0.6599,2649.9302,0.9564,0.3305,0.3349
0.6591,2613.7654,0.9564,0.3299,0.3353
0.6575,2574.1064,0.9534,0.3293,0.3356
0.6549,2531.7021,0.9471,0.3287,0.336
0.6514,2486.7729,0.9378,0.328,0.3361
0.647,2439.3591,0.926,0.3273,0.3361
0.6419,2389.6975,0.9125,0.3266,0.3358
0.6362,2338.4272,0.898,0.3259,0.3353
0.6299,2286.5791,0.8833,0.3251,0.3347
0.6232,2235.3809,0.8687,0.3243,0.3341
0.6162,2186.0183,0.8544,0.3236,0.3333
0.609,2139.4565,0.8406,0.3228,0.3326
0.6018,2096.3369,0.8273,0.322,0.3319
0.5946,2056.9675,0.8145,0.3212,0.3312
0.5876,2021.3315,0.8021,0.3204,0.3304
0.5809,1989.1646,0.7901,0.3197,0.3297
0.5744,1960.0166,0.7787,0.3189,0.329
0.5684,1933.3428,0.7678,0.3181,0.3282
0.5628,1908.5686,0.7576,0.3174,0.3275
0.5576,1885.1656,0.748,0.3167,0.3268
0.5529,1862.6873,0.7391,0.3159,0.326
0.5488,1840.8026,0.7307,0.3153,0.3253
0.5452,1819.2905,0.7229,0.3146,0.3246
0.542,1798.031,0.7155,0.3139,0.3238
0.5393,1776.9919,0.7085,0.3133,0.3231
0.5369,1756.2063,0.7017,0.3127,0.3224
0.5349,1735.7378,0.6952,0.3121,0.3217
0.5331,1715.6766,0.6888,0.3115,0.3211
0.5315,1696.1191,0.6825,0.311,0.3204
0.5301,1677.1484,0.6764,0.3104,0.3197
0.529,1658.8313,0.6704,0.3099,0.3191
0.5282,1641.2241,0.6645,0.3094,0.3185
0.5277,1624.3558,0.6588,0.3089,0.3178
0.5274,1608.2292,0.6532,0.3084,0.3172
0.5273,1592.8446,0.6477,0.308,0.3166
0.5275,1578.1685,0.6424,0.3075,0.316
0.5278,1564.1641,0.6373,0.3071,0.3154
0.5282,1550.7821,0.6323,0.3067,0.3149
0.5287,1537.9689,0.6275,0.3063,0.3143
0.5292,1525.6641,0.6229,0.3059,0.3137
0.5297,1513.8014,0.6184,0.3055,0.3132
0.5303,1502.323,0.6141,0.3051,0.3126
0.5308,1491.165,0.61,0.3047,0.3121
0.5314,1480.2727,0.606,0.3043,0.3116
0.5318,1469.5938,0.6022,0.3039,0.311
0.5323,1459.0775,0.5985,0.3035,0.3105
0.5327,1448.6807,0.595,0.3031,0.31
0.5331,1438.3657,0.5917,0.3027,0.3095
0.5334,1428.0984,0.5885,0.3023,0.309
0.5337,1417.8507,0.5854,0.302,0.3085
0.5339,1407.6036,0.5825,0.3016,0.308
0.5341,1397.3318,0.5797,0.3012,0.3075
0.5343,1387.0232,0.577,0.3008,0.307
0.5344,1376.6658,0.5745,0.3004,0.3066
0.5345,1366.2552,0.572,0.3,0.3061
0.5346,1355.78,0.5697,0.2996,0.3056
0.5347,1345.2366,0.5675,0.2992,0.3051
0.5347,1334.6294,0.5654,0.2988,0.3047
0.5347,1323.9521,0.5633,0.2984,0.3042
0.5347,1313.2081,0.5614,0.298,0.3038
0.5347,1302.4016,0.5595,0.2976,0.3033
0.5347,1291.53,0.5577,0.2972,0.3028
0.5347,1280.6018,0.556,0.2967,0.3024
0.5347,1269.6217,0.5544,0.2963,0.3019
0.5347,1258.5898,0.5528,0.2959,0.3015
0.5347,1247.5165,0.5513,0.2954,0.301
0.5346,1236.4075,0.5499,0.295,0.3006
0.5346,1225.2604,0.5485,0.2946,0.3002
0.5346,1214.085,0.5471,0.2941,0.2997
0.5346,1202.887,0.5459,0.2937,0.2993
0.5345,1191.6724,0.5446,0.2932,0.2989
0.5345,1180.4368,0.5435,0.2928,0.2984
0.5777,316.2654,0.895,0.3008,0.3265
0.5771,322.6198,0.8967,0.301,0.3266
0.5766,328.9225,0.8984,0.3012,0.3267
0.576,335.1626,0.9001,0.3014,0.3268
0.5755,341.3285,0.9018,0.3016,0.3268
0.5749,347.4098,0.9035,0.3017,0.3269
0.5744,353.3955,0.9053,0.3019,0.327
0.5739,359.2737,0.907,0.3021,0.3271
0.5734,365.0354,0.9088,0.3023,0.3271
0.5729,370.671,0.9105,0.3025,0.3272
0.5724,376.1702,0.9123,0.3027,0.3273
0.5719,381.5248,0.9141,0.3029,0.3274
0.5714,386.7299,0.9159,0.3031,0.3274
0.571,391.7712,0.9177,0.3034,0.3275
0.5705,396.6421,0.9194,0.3036,0.3276
